tvg_id,display_name,group_title,group_id
ae-us-eastern-feed,A&E US Eastern Feed,Live,Lifestyle & Pop Culture
abc-kabc-los-angeles-ca,ABC (KABC) Los Angeles,Network TV,
abc-wabc-new-york-ny,"ABC (WABC) New York, NY",Network TV,
acc-network,ACC Network,Live,Sports & Outdoors
altitude-sports-denver,Altitude Sports Denver,Live,Sports & Outdoors
amc-eastern-feed,AMC Eastern Feed,Live,Movies
american-heroes-channel,American Heroes Channel,Live,Lifestyle & Pop Culture
animal-planet-us-east,Animal Planet US East,Live,"Nature, History & Science"
bbc-america-east,BBC America East,Live,Lifestyle & Pop Culture
bbc-news-north-america-hd,BBC News North America HD,Live,News & Opinion
bet-eastern-feed,BET Eastern Feed,Live,Lifestyle & Pop Culture
bet-her,BET Her,Live,Lifestyle & Pop Culture
big-ten-network,Big Ten Network,Live,Sports & Outdoors
bloomberg-tv-usa,Bloomberg TV USA,Live,
boomerang,Boomerang,Live,
bravo-usa-eastern-feed,Bravo USA Eastern Feed,Live,Movies
cspan,C-SPAN,Live,News & Opinion
cspan-2,C-SPAN 2,Live,News & Opinion
cartoon-network-usa-eastern-feed,Cartoon Network USA Eastern Feed,Live,Kids
cbs-kcbs-los-angeles-ca,CBS (KCBS) Los Angeles,Network TV,
cbs-wcbs-new-york-ny,"CBS (WCBS) New York, NY",Network TV,
cbs-sports-network-usa,CBS Sports Network USA,Live,Sports & Outdoors
chicago-sports-network,Chicago Sports Network,Live,Sports & Outdoors
cinemax-eastern-feed,Cinemax Eastern Feed,Live,Movies
cmt-us-eastern-feed,CMT US Eastern Feed,Live,Music
cnbc-usa,CNBC USA,Live,News & Opinion
cnn,CNN US,Live,News & Opinion
comedy-central-us-eastern-feed,Comedy Central (US) Eastern Feed,Live,Comedy
crime-investigation-network-usa-hd,Crime & Investigation Network USA HD,Live,Crime
cw-kfmbtv2-san-diego-ca,CW (KFMB-TV2) San Diego,Live,Lifestyle & Pop Culture
cw-wdcw-district-of-columbia,CW (WDCW) District of Columbia,Live,Lifestyle & Pop Culture
destination-america,Destination America,Live,Lifestyle & Pop Culture
discovery-channel-us-eastern-feed,Discovery Channel (US) Eastern Feed,Live,"Nature, History & Science"
discovery-family-channel,Discovery Family Channel,Live,"Nature, History & Science"
discovery-life-channel,Discovery Life Channel,Live,"Nature, History & Science"
disney-eastern-feed,Disney Eastern Feed,Live,Kids
disney-junior-usa-east,Disney Junior USA East,Live,Kids
disney-xd-usa-eastern-feed,Disney XD USA Eastern Feed,Live,Kids
